Timestamp (MM/DD/YYYY HH:MM),Temperature (Â°C),Humidity (%),Co2 (ppm)
12/07/20 16:04:48,30.2,64.6%,645
12/07/20 16:05:48,30.2,65.1%,546
12/07/20 16:06:48,30.2,65.2%,496
12/07/20 16:07:48,30.3,64.3%,534
12/07/20 16:08:48,30.2,64.9%,562
12/07/20 16:09:48,30.1,65.3%,530
12/07/20 16:10:48,30.0,65.4%,526
12/07/20 16:11:48,30.0,64.8%,617
12/07/20 16:12:48,29.9,65.0%,543
12/07/20 16:13:48,29.9,65.3%,447
12/07/20 16:14:48,29.8,64.9%,485
12/07/20 16:15:48,29.9,64.6%,476
12/07/20 16:16:48,30.0,64.3%,509
12/07/20 16:17:48,30.0,64.2%,517
12/07/20 16:18:48,30.1,63.8%,494
12/07/20 16:19:48,30.1,63.9%,494
12/07/20 16:20:48,30.1,64.2%,554
12/07/20 16:21:48,30.1,64.3%,525
12/07/20 16:22:48,30.0,64.4%,563
12/07/20 16:23:48,30.0,64.7%,514
12/07/20 16:24:48,29.8,64.7%,626
12/07/20 16:25:48,29.7,65.1%,402
12/07/20 16:26:48,29.7,65.3%,529
12/07/20 16:27:48,29.7,65.2%,514
12/07/20 16:28:48,29.6,65.1%,492
12/07/20 16:29:48,29.6,65.5%,504
12/07/20 16:30:48,29.7,65.3%,614
12/07/20 16:31:48,29.7,65.2%,575
12/07/20 16:32:48,29.7,65.2%,502
12/07/20 16:33:48,29.7,65.1%,482
12/07/20 16:34:48,29.6,65.3%,565
12/07/20 16:35:48,29.6,65.8%,548
12/07/20 16:36:48,29.5,66.2%,507
12/07/20 16:37:48,29.3,66.4%,550
12/07/20 16:38:48,29.2,67.0%,482
12/07/20 16:39:48,29.1,67.1%,516
12/07/20 16:40:48,29.2,67.2%,515
12/07/20 16:41:48,29.1,67.7%,505
12/07/20 16:42:48,28.9,68.1%,475
12/07/20 16:43:48,28.8,69.0%,548
12/07/20 16:44:48,28.7,69.2%,478
12/07/20 16:45:48,28.7,69.4%,431
12/07/20 16:46:48,28.9,68.6%,403
12/07/20 16:47:48,29.1,67.9%,442
12/07/20 16:48:48,29.3,67.3%,482
12/07/20 16:49:48,29.4,66.8%,495
12/07/20 16:50:48,29.3,67.3%,508
12/07/20 16:51:48,29.1,68.2%,547
12/07/20 16:52:48,29.1,68.3%,577
12/07/20 16:53:48,28.9,69.2%,503
12/07/20 16:54:48,29.0,69.2%,479
12/07/20 16:55:48,29.1,69.1%,549
12/07/20 16:56:48,29.1,69.2%,548
12/07/20 16:57:48,29.0,69.8%,576
12/07/20 16:58:48,28.9,70.2%,591
12/07/20 16:59:48,28.9,70.2%,569
12/07/20 17:00:48,28.9,70.2%,543
12/07/20 17:01:48,28.9,70.1%,531
12/07/20 17:02:48,28.9,70.4%,518
12/07/20 17:03:48,28.9,70.5%,522
12/07/20 17:04:48,28.9,70.9%,551
12/07/20 17:05:48,28.7,71.7%,545
12/07/20 17:06:48,28.8,71.5%,559
12/07/20 17:07:48,28.9,71.4%,536
12/07/20 17:08:48,28.9,71.3%,552
12/07/20 17:09:48,28.8,71.4%,537
12/07/20 17:10:48,28.8,71.7%,565
12/07/20 17:11:48,28.6,72.4%,572
12/07/20 17:12:48,28.6,72.6%,531
12/07/20 17:13:48,28.5,73.1%,532
12/07/20 17:14:48,28.6,73.2%,537
12/07/20 17:15:48,28.6,73.3%,538
12/07/20 17:16:48,28.7,72.9%,621
12/07/20 17:17:48,28.6,72.9%,525
12/07/20 17:18:48,28.5,72.7%,602
12/07/20 17:19:48,28.5,73.2%,564
12/07/20 17:20:48,28.5,73.4%,526
12/07/20 17:21:48,28.5,73.4%,505
12/07/20 17:22:48,28.5,73.4%,525
12/07/20 17:23:48,28.4,73.5%,548
12/07/20 17:24:49,28.4,73.8%,560
12/07/20 17:25:49,28.4,73.7%,527
12/07/20 17:26:49,28.5,74.0%,578
12/07/20 17:27:49,28.4,73.9%,556
12/07/20 17:28:49,28.4,73.8%,535
